date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:59	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Oct%202017%2002:58:58%20GMT	http://www.kawashima-pack.co.jp/robots.txt		(from )
08:59:00	19858/19858	---M--	200	added ('OK')	text/html	etag:%2218d793b3-4d92-c2540440%22	http://www.kawashima-pack.co.jp/	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/index.html	(from )
08:59:01	218/218	---M--	200	added ('OK')	application/x-javascript	etag:%22191342b8-da-9abac600%22	http://www.kawashima-pack.co.jp/js/css.js	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/js/css.js	(from http://www.kawashima-pack.co.jp/)
08:59:04	21696/21696	---M--	200	added ('OK')	application/x-javascript	etag:%221913433e-54c0-c0a35d00%22	http://www.kawashima-pack.co.jp/Scripts/swfobject_modified.js	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/Scripts/swfobject_modified.js	(from http://www.kawashima-pack.co.jp/)
08:59:05	43/43	---M--	200	added ('OK')	image/gif	etag:%22191341e1-2b-8f861f00%22	http://www.kawashima-pack.co.jp/img/spacer.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/img/spacer.gif	(from http://www.kawashima-pack.co.jp/)
08:59:05	36015/36015	---MC-	200	added ('OK')	text/javascript	date:Fri,%2020%20Oct%202017%2023:46:20%20GMT	http://www.google-analytics.com/analytics.js	G:/Kyoto/Kawashima/Kawashima/www.google-analytics.com/analytics.js	(from http://www.kawashima-pack.co.jp/)
08:59:06	4641/4641	---M--	200	added ('OK')	image/gif	etag:%22191341e0-1221-8f861f00%22	http://www.kawashima-pack.co.jp/img/rogon.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/img/rogon.gif	(from http://www.kawashima-pack.co.jp/)
08:59:07	652/652	---M--	200	added ('OK')	text/html	etag:%2219134077-28c-7b516440%22	http://www.kawashima-pack.co.jp/eng/index.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/eng/index.html	(from http://www.kawashima-pack.co.jp/)
08:59:08	460/460	---M--	200	added ('OK')	image/gif	etag:%22191341b5-1cc-8eb07f80%22	http://www.kawashima-pack.co.jp/img/englishbtn.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/img/englishbtn.gif	(from http://www.kawashima-pack.co.jp/)
08:59:10	2027/2027	---M--	200	added ('OK')	image/gif	etag:%22191341c5-7eb-8efccac0%22	http://www.kawashima-pack.co.jp/img/menu001.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/img/menu001.gif	(from http://www.kawashima-pack.co.jp/)
